zHD,zHDERR,MU_SH0ES,MU_SH0ES_ERR_DIAG
0.00122,0.00084,28.9987,1.51645
0.00122,0.00084,29.0559,1.51747
0.00256,0.00084,30.7233,0.782372
0.00256,0.00084,30.7449,0.799068
0.00299,0.00084,30.7757,0.881212
0.00317,0.00084,30.7946,0.614535
0.00331,0.00085,30.4604,0.594683
0.00331,0.00085,30.5528,0.580251
0.00331,0.00085,30.4013,0.578445
0.00331,0.00085,30.5107,0.578546
0.00333,0.00084,31.5011,0.591006
0.00349,0.00084,31.7933,0.55272
0.00349,0.00084,31.4967,0.545492
0.00359,0.00084,31.6969,0.550993
0.00384,0.00084,30.9999,0.566505
0.00407,0.00084,31.3933,0.476404
0.00407,0.00084,31.3779,0.479276
0.00432,0.00084,31.499,0.514259
0.00432,0.00084,31.5611,0.530838
0.00465,0.00084,31.9309,0.442017
0.00465,0.00084,32.033,0.420403
0.00482,0.00084,31.2476,0.558603
0.00483,0.00085,31.1331,0.446882
0.00483,0.00085,31.6525,0.564724
0.00483,0.00085,31.2234,0.410577
0.00483,0.00085,31.34,0.562589
0.00483,0.00085,31.7635,0.574442
0.00488,0.00084,31.4473,0.448264
0.00488,0.00084,31.539,0.407028
0.00538,0.00084,31.6512,0.514401
0.00548,0.00085,31.7282,0.501431
0.0057,0.00084,31.9117,0.469628
0.0057,0.00084,31.8985,0.483668
0.00571,0.00084,31.6799,0.375913
0.00571,0.00084,31.6292,0.385756
0.00587,0.00084,31.7403,0.491367
0.00588,0.00084,32.1822,0.339643
0.00592,0.00084,32.4685,0.487055
0.00602,0.00085,31.9404,0.344335
0.00602,0.00085,32.0666,0.343707
0.00602,0.00085,31.9102,0.350249
0.00616,0.00084,30.9079,0.524992
0.00616,0.00084,31.1857,0.452235
0.00625,0.00084,32.0667,0.32593
0.00625,0.00084,32.0023,0.36156
0.00625,0.00084,32.0999,0.322811
0.00625,0.00084,32.0337,0.339166
0.0063,0.00084,32.0754,0.533991
0.0063,0.00084,32.0843,0.537335
0.0063,0.00084,32.0203,0.538159
0.00631,0.00085,32.8333,0.562902
0.00634,0.00085,32.4001,0.482567
0.00648,0.00084,32.4608,0.318474
0.00648,0.00084,32.4338,0.32229
0.00665,0.00085,31.7321,0.531169
0.00668,0.00085,31.2217,0.420706
0.00673,0.00084,32.3593,0.359446
0.00676,0.00085,31.9733,0.415464
0.00677,0.00085,32.1951,0.34053
0.00677,0.00085,32.1729,0.371125
0.00677,0.00085,32.2048,0.34795
0.00692,0.00084,32.4405,0.439634
0.0071,0.00084,32.3193,0.325586
0.0071,0.00084,32.3327,0.348317
0.0071,0.00084,32.3221,0.322655
0.00719,0.00085,32.4423,0.300309
0.00719,0.00085,32.4642,0.300269
0.00747,0.00084,32.7943,0.289134
0.00747,0.00084,32.7423,0.294759
0.00747,0.00084,32.7685,0.292411
0.0075,0.00084,32.3312,0.373843
0.0075,0.00084,32.2998,0.396652
0.00795,0.00084,32.6418,0.362719
0.00814,0.00084,32.7164,0.317031
0.00814,0.00084,32.6151,0.317457
0.00814,0.00084,32.7092,0.367554
0.00815,0.00084,32.3711,0.371926
0.00815,0.00084,32.7434,0.280148
0.00815,0.00084,32.6707,0.286975
0.00817,0.00085,32.4455,0.490787
0.00818,0.00084,32.484,0.342662
0.00821,0.00084,33.2138,0.462834
0.00838,0.00085,32.521,0.465611
0.00838,0.00085,32.6922,0.484865
0.00855,0.00084,32.6928,0.359218
0.00855,0.00084,32.852,0.318032
0.00857,0.00084,32.7527,0.26758
0.00861,0.00084,32.7223,0.383433
0.00863,0.00085,32.3744,0.338325
0.00863,0.00085,32.3945,0.331296
0.00863,0.00085,32.335,0.337879
0.00864,0.00085,32.4198,0.425219
0.00883,0.00084,32.8616,0.327035
0.00906,0.00084,32.799,0.368859
0.00906,0.00084,32.7498,0.409525
0.00925,0.00084,32.8914,0.286425
0.00925,0.00084,32.8973,0.282867
0.00925,0.00084,32.9159,0.285505
0.00935,0.00084,32.3353,0.401367
0.00954,0.00086,33.0399,0.268981
0.00954,0.00086,33.2135,0.253629
0.00954,0.00086,33.2309,0.251906
0.00954,0.00086,33.2469,0.254885
0.00957,0.00087,32.901,0.309548
0.00957,0.00087,32.8654,0.334488
0.00966,0.00086,32.8029,0.35789
0.00966,0.00086,32.9165,0.372831
0.00993,0.00084,33.4753,0.372879
0.00996,0.00086,32.6457,0.409088
0.00996,0.00086,32.7458,0.360296
0.00996,0.00086,32.9015,0.334006
0.01016,0.00085,32.7794,0.348547
0.01017,0.00084,32.9182,0.365223
0.01017,0.00084,32.9674,0.341878
0.01026,0.00084,33.3378,0.306294
0.01026,0.00084,33.2253,0.299086
0.01028,0.00086,33.2788,0.247952
0.01042,0.00084,33.1236,0.317227
0.01044,0.00084,33.0869,0.343916
0.01061,0.00084,33.3806,0.309009
0.01061,0.00084,33.2931,0.27457
0.01073,0.00084,33.1081,0.364668
0.01079,0.00084,33.0683,0.324016
0.01079,0.00084,33.1809,0.377969
0.01096,0.00084,33.5709,0.314858
0.01114,0.00085,33.7337,0.342487
0.01114,0.00085,33.6369,0.29522
0.01122,0.00084,33.8347,0.353909
0.01122,0.00084,33.4336,0.283424
0.01122,0.00084,33.4947,0.325172
0.01155,0.00085,33.5833,0.281169
0.01195,0.00084,33.4974,0.301502
0.01213,0.00086,33.8783,0.346381
0.0122,0.00086,33.7023,0.266666
0.01233,0.00084,33.7403,0.254135
0.01246,0.00086,33.8286,0.265115
0.01258,0.00085,33.708,0.24076
0.01258,0.00085,33.7246,0.250097
0.01259,0.00086,33.5874,0.26006
0.01259,0.00086,33.5178,0.26619
0.01279,0.00086,33.7492,0.416658
0.01283,0.00086,33.6365,0.287379
0.01283,0.00086,33.5028,0.331124
0.01303,0.00085,33.7355,0.239783
0.01303,0.00085,33.7607,0.28722
0.01304,0.00086,33.5752,0.292564
0.01304,0.00086,33.5673,0.284786
0.01312,0.00085,33.52,0.273536
0.01312,0.00085,33.4717,0.261601
0.01325,0.00085,33.9682,0.303693
0.01325,0.00085,33.9846,0.299399
0.01325,0.00085,33.9247,0.304606
0.01375,0.00085,33.797,0.277855
0.01375,0.00085,33.7683,0.232778
0.01375,0.00085,33.772,0.235755
0.01376,0.00085,33.7649,0.288791
0.01386,0.00086,33.6741,0.345367
0.01388,0.00085,33.6968,0.233531
0.01389,0.00085,33.8053,0.288803
0.01389,0.00085,33.6651,0.296207
0.01411,0.00085,33.8206,0.250873
0.01424,0.00085,33.8444,0.265489
0.01442,0.00085,34.0187,0.307194
0.01442,0.00085,34.0249,0.352338
0.01442,0.00085,34.3366,0.370715
0.01442,0.00085,34.1781,0.396908
0.01442,0.00085,34.252,0.397235
0.01446,0.00085,33.9078,0.240515
0.0145,0.00085,34.1727,0.365029
0.01453,0.00085,33.7526,0.2163
0.0146,0.00085,33.8826,0.249316
