 z	DA(Mpc)
0.142	780+180−130
0.152	610+60−70
0.164	580+290−250
0.171	520+150−120
0.171	440+40−50
0.176	660+140−110
0.182	660+90−100
0.183	650+90−90
0.202	520+40−50
0.217	980+170−140
0.224	730+200−130
0.229	640+200−170
0.23	600+110−90
0.235	460+110−80
0.252	1070+20−80
0.255	630+160−190
0.282	880+300−230
0.288	780+180−180
0.291	830+20−20
0.322	1190+150−140
0.375	1080+190−200
0.412	1220+240−230
0.451	960+60−80
0.483	1440+270−230
0.49	1380+470−370
0.541	1380+220−220
0.544	800+190−160
0.545	1490+60−30
0.55	1420+260−230
0.57	1330+370−280
0.583	2480+410−440
0.584	770+210−180
0.686	1680+480−380
0.784	2850+520−630
0.813	1040+510−430
0.826	1330+280−260
0.89	1080+420−280
