

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is funded by the National Aeronautics and Space Administration.
and operated by the California Institute of Technology.


queryDateTime:2023-07-24T23:33:28PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
1|[IKO2018] HFF1P-5363-4016|  3.47347 | -30.40046 |G|2488278| 8.300000 |PUN |     |  0.000|2|0|0|2|2|0|0
2|ABELL 2744:[IKO2015] HFF1P-YJ2|  3.47352 | -30.38402 |IrS|2608195| 8.700000 |PUN |     |  0.000|6|0|10|6|4|0|0
3|ABELL 2744:[IKO2015] HFF1P-YJ3|  3.47444 | -30.36873 |IrS|2665155| 8.890000 |PUN |     |  0.000|4|0|10|4|2|0|0
4|ABELL 2744:[IKO2015] HFF1P-YJ1|  3.48889 | -30.39618 |IrS|2614191| 8.720000 |PUN |     |  0.000|6|0|10|6|5|0|0
5|ABELL 2744:[ZSM2014] YD02|  3.57252 | -30.41327 |G|2449305| 8.170000 |SUN |     |  0.000|6|0|10|5|3|0|0
6|ABELL 2744:[ZSM2014] YD09|  3.57290 | -30.41366 |G|2488278| 8.300000 |PUN |     |  0.000|4|0|10|3|1|0|0
7|ABELL 2744_z8_020572|  3.57325 | -30.38431 |G|2446307| 8.160000 |PUN |     |  0.000|1|0|0|1|1|0|0
8|ABELL 2744:[MAC2016] 000548|  3.57680 | -30.40744 |G|2566224| 8.560000 |PUN |     |  0.000|3|0|10|2|1|0|0
9|ABELL 2744:[JRJ2015] 46.3|  3.57750 | -30.40870 |G_Lens|2997925|10.000000 |MUN |     |  0.000|1|0|0|1|1|0|0
10|ABELL 2744:[ZZB2014] JD1C|  3.57753 |  -3.04087 |G|3330395|11.109000 |PUN |     |  0.000|1|0|0|1|1|0|0
11|ABELL 2744:[MAC2016] 022347|  3.58800 | -30.39065 |G|2638174| 8.800000 |PUN |     |  0.000|2|0|10|2|1|0|0
12|ABELL 2744:[LBD2014] 19.1|  3.59251 | -30.40149 |G|2946960| 9.830000 |PST |     |  0.000|12|0|13|14|6|0|0
13|ABELL 2744:[LBD2014] 19.2|  3.59502 | -30.40075 |G|2946960| 9.830000 |PST |     |  0.000|12|0|1|11|10|0|0
14|ABELL 2744_z8_000892|  3.59609 | -30.38583 |IrS|2437013| 8.129000 |PST |     |  0.000|10|0|13|9|7|0|0
15|ABELL 2744:[ZSM2014] YD08|  3.59610 | -30.38583 |G|2428319| 8.100000 |PUN |     |  0.000|3|0|0|2|2|0|0
16|ABELL 2744:[ZSM2014] JD02|  3.59704 | -30.41213 |G|3147821|10.500000 |PUN |     |  0.000|1|0|0|1|1|0|0
17|ABELL 2744:[ZSM2014] YD10|  3.59811 | -30.38239 |G|2488278| 8.300000 |PUN |     |  0.000|2|0|0|1|1|0|0
18|ABELL 2744_z8_110813|  3.60014 | -30.38352 |G|2446307| 8.160000 |PUN |     |  0.000|3|0|10|3|1|0|0
19|ABELL 2744_z8_000482|  3.60338 | -30.38225 |IrS|2458298| 8.200000 |PUN |     |  0.000|5|0|5|5|5|0|0
20|ABELL 2744:[ZSM2014] YD07|  3.60340 | -30.38226 |G|2488278| 8.300000 |PUN |     |  0.000|3|0|0|2|2|0|0
21|ABELL 2744:[ARK2015] 4886|  3.60385 | -30.38226 |IrS|2518257| 8.400000 |PUN |     |  0.000|2|0|0|2|2|0|0
22|ABELL 2744:[ZSM2014] YD01|  3.60386 | -30.38190 |G|2608195| 8.700000 |PUN |     |  0.000|4|0|10|2|1|0|0
23|ABELL 2744:[ZSM2014] YD03|  3.60386 | -30.41584 |G|2638174| 8.800000 |PUN |     |  0.000|3|0|0|2|1|0|0
24|ABELL 2744_z8_130427|  3.60386 | -30.38226 |IrS|2470290| 8.240000 |PST |     |  0.000|16|0|15|11|10|0|0
25|ABELL 2744:[ZSM2014] YD04|  3.60386 | -30.38227 |G|2548236| 8.500000 |PUN |     |  0.000|5|0|0|1|1|0|0
26|ABELL 2744:[ZSM2014] YD06|  3.60400 | -30.38231 |G|2428319| 8.100000 |PUN |     |  0.000|3|0|0|2|2|0|0
27|[RMT2022] 0037-3337_0563|  9.30000 | -33.62430 |G|2626182| 8.760000 |PUN |     |  0.000|1|0|0|1|1|0|0
28|[MMD2016] A209-09-1| 22.97625 | -13.61586 |G|2518257| 8.400000 |PUN |     |  0.000|1|0|0|1|1|0|0
29|[RMT2022] 0143+4434_0056| 25.81350 |  44.54400 |G|2485280| 8.290000 |PUN |     |  0.000|1|0|0|1|1|0|0
30|DEVILS 025242440| 34.18588 |  -4.26509 |G|2731110| 9.110000 |SML |     |  0.000|1|0|0|1|2|0|0
31|[GGF2013] 19776| 34.25564 |  -5.16655 |G|2860020| 9.540000 |PUN |     |  0.000|5|0|0|4|3|0|0
32|[GGF2013] 01972| 34.30457 |  -5.26537 |G|3057884|10.200000 |PUN |     |  0.000|3|0|0|2|1|0|0
33|[GGF2013] 19630| 34.30831 |  -5.16740 |G|2485280| 8.290000 |PUN |     |  0.000|3|0|1|2|1|0|0
34|[GGF2013] 28517| 34.31089 |  -5.25436 |G|2728112| 9.100000 |PUN |     |  0.000|3|0|0|2|1|0|0
35|[GGF2013] 35434| 34.34151 |  -5.13743 |G|2578216| 8.600000 |PUN |     |  0.000|4|0|0|3|2|0|0
36|S-CANDELS J021734.25-051536.2 | 34.39278 |  -5.25991 |G|3006919|10.030000 |PUN |     |  0.000|5|0|14|4|2|0|0
37|REBELS 04| 34.42692 |  -4.98261 |G|2569222| 8.570000 |PUN |     |  0.000|1|0|0|1|1|0|0
38|[BOL2016] UDS910-3| 34.46825 |  -5.25175 |G|2818050| 9.400000 |PUN |     |  0.000|1|0|0|1|1|0|0
39|REBELS 11| 36.16399 |  -4.80836 |IrS|2470290| 8.240000 |PUN |     |  0.000|2|0|0|2|1|0|0
40|REBELS 13| 36.56883 |  -4.11781 |G|2455301| 8.190000 |PUN |     |  0.000|1|0|0|1|1|0|0
41|ABELL 0370:[LBL2018] clu037| 39.95528 |  -1.57791 |G|2577316| 8.597000 |PST |     |  0.000|4|0|0|4|3|0|0
42|ABELL 0370:[RJL2014] 11.1| 39.96383 |  -1.56948 |G_Lens|2464294| 8.220000 |MUN |     |  0.000|4|0|0|5|5|0|0
43|ABELL 0370:[KIS2018] 39.2| 39.97587 |  -1.58726 |G|2458298| 8.200000 |PUN |     |  0.000|2|0|0|3|2|0|0
44|[IKO2018] HFF6C-5421-5141| 39.97588 |  -1.58726 |G|2458298| 8.200000 |PUN |     |  0.000|2|0|0|2|2|0|0
45|ABELL 0370:[KIS2018] 39.1| 39.98242 |  -1.58110 |G|2440311| 8.140000 |MUN |     |  0.000|3|0|0|4|3|0|0
46|[IKO2018] HFF6P-1194-8213| 40.04978 |  -1.63925 |G|2665155| 8.890000 |PUN |     |  0.000|2|0|0|2|2|0|0
47|[IKO2018] HFF6P-1293-6262| 40.05390 |  -1.60730 |G|2668153| 8.900000 |PUN |     |  0.000|2|0|0|2|2|0|0
48|[IKO2018] HFF6P-1311-7372| 40.05463 |  -1.62702 |G|2545238| 8.490000 |PUN |     |  0.000|2|0|0|2|2|0|0
49|[IKO2018] HFF6P-1350-7372| 40.05626 |  -1.62702 |G|2488278| 8.300000 |PUN |     |  0.000|2|0|0|2|2|0|0
50|[IKO2018] HFF6P-1514-7171| 40.06310 |  -1.62143 |G|2578216| 8.600000 |PUN |     |  0.000|2|0|0|2|2|0|0
51|[IKO2018] HFF6P-1732-6562| 40.07221 |  -1.61562 |G|2440311| 8.140000 |PUN |     |  0.000|1|0|0|1|1|0|0
