

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is funded by the National Aeronautics and Space Administration.
and operated by the California Institute of Technology.


queryDateTime:2024-05-03T21:07:04PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
1|ABELL 2744:[CFT2022] GHZ2|  3.49898 | -30.32477 |G|3632586|12.117000 |S1L |     |  0.000|5|0|0|4|6|0|0
2|[YML2022] 5153|  3.49900 | -30.32480 |G|3681452|12.280000 |PSE |     |  0.000|3|0|0|3|3|0|0
3|[DMD2023] 006415|  3.50113 | -30.35719 |G|3054886|10.190000 |PSE |     |  0.000|2|0|0|2|2|0|0
4|[HOO2023] GL-z09-07|  3.51050 | -30.36583 |G|3093859|10.320000 |PSE |     |  0.000|1|0|0|1|1|0|0
5|[YML2022] 0560|  3.51190 | -30.37180 |G|3186794|10.630000 |PUN |     |  0.000|1|0|0|1|1|0|0
6|ABELL 2744:[CFT2022] GHZ1|  3.51193 | -30.37185 |G|3132832|10.450000 |PUN |     |  0.000|6|0|0|5|7|0|0
7|ABELL 2744:[CFT2022] GHZ4|  3.51374 | -30.35155 |G|3135830|10.460000 |PSE |     |  0.000|2|0|0|2|3|0|0
8|ABELL 2744:[CFT2022] GHZ3|  3.52894 | -30.36381 |G|3303713|11.020000 |PSE |     |  0.000|2|0|0|2|3|0|0
9|ABELL 2744:[ZZB2014] JD1C|  3.57753 |  -3.04087 |G|3330395|11.109000 |PUN |     |  0.000|1|0|0|1|1|0|0
10|ABELL 2744:[ZSM2014] JD02|  3.59704 | -30.41213 |G|3147821|10.500000 |PUN |     |  0.000|1|0|0|1|1|0|0
11|[GGF2013] 01972| 34.30457 |  -5.26537 |G|3057884|10.200000 |PUN |     |  0.000|3|0|0|2|1|0|0
12|S-CANDELS J021734.25-051536.2 | 34.39278 |  -5.25991 |G|3006919|10.030000 |PUN |     |  0.000|5|0|14|4|2|0|0
13|[BJD2020] XMM3-3085| 36.74617 |  -5.20486 |G|3225767|10.760000 |PUN |     |  0.000|1|0|0|1|2|0|0
14|[DMM2023] UDF-03216| 53.12167 | -27.83013 |G|3765394|12.560000 |PUN |     |  0.000|1|0|0|1|1|0|0
15|CANDELS J033233.38-274322.2| 53.13911 | -27.72286 |G|3126275|10.428131 |SLS |24.7V|  0.000|7|0|7|4|6|0|0
16|JADES-GS+053.14988-27.77650| 53.14988 | -27.77650 |G|3957261|13.200000 |SLS |     |  0.000|2|0|0|2|4|0|0
17|XDFj 38126243| 53.15883 | -27.77342 |G|3108848|10.370000 |SLS |     |  0.000|6|0|1|6|8|0|0
18|JADES-GS+053.16476-27.77463| 53.16476 | -27.77463 |G|3471597|11.580000 |SLS |     |  0.000|2|0|0|2|4|0|0
19|JADES-GS+053.16634-27.82156| 53.16634 | -27.82156 |G|3777386|12.600000 |SLS |     |  0.000|1|0|0|1|2|0|0
20|[DMM2023] UDF-16748| 53.16862 | -27.79276 |G|3528558|11.770000 |PUN |     |  0.000|1|0|0|1|1|0|0
21|[OBI2013] 43286481| 53.18033 | -27.78003 |G|3117842|10.400000 |PUN |     |  0.000|1|0|0|1|2|0|0
22|MACS J0416-2403:[IZL2015] 8958| 64.02541 | -24.08225 |G|3031502|10.112000 |UUN |     |  0.000|1|0|0|1|1|0|0
23|SPT-CL J0615-57:[NSB2022] 0336| 93.97925 | -57.77215 |G|3057884|10.200000 |PUN |     |  0.000|1|0|0|1|1|0|0
24|MACS J0647.7+7015:[CCS2013]JD2|101.97130 |  70.23971 |G|3207780|10.700000 |UUN |     |  0.000|2|0|0|1|2|0|0
