

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is funded by the National Aeronautics and Space Administration.
and operated by the California Institute of Technology.


queryDateTime:2023-10-03T22:41:38PDT



Main Information Table for All Sky, chosen by params


Redshift: Between 0.272000 and 0.273000 


Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
1|WISEA J000058.46+125936.6|  0.24354 |  12.99345 |G| 81828| 0.272949 |SLS |     |  0.000|0|0|12|2|1|0|0
2|WISEA J000059.30+025324.6|  0.24715 |   2.89016 |G| 81780| 0.272788 |SLS |     |  0.000|0|0|12|2|1|0|0
3|WHL J000100.5+125810|  0.25193 |  12.96953 |GClstr| 81813| 0.272900 |SUN |     |  0.000|2|0|0|2|3|0|0
4|WISEA J000100.79+125913.6|  0.25338 |  12.98712 |G| 81824| 0.272937 |SLS |     |  0.000|0|0|18|3|1|0|0
5|WISEA J000112.47+205545.0|  0.30200 |  20.92914 |G| 81808| 0.272882 |SLS |     |  0.000|0|0|18|3|1|0|0
6|WISEA J000149.49+205135.7|  0.45626 |  20.85992 |G| 81553| 0.272031 |SLS |     |  0.000|0|0|18|3|1|0|0
7|WHL J000224.0-044515|  0.60015 |  -4.75415 |GClstr| 81574| 0.272100 |SUN |     |  0.000|2|0|0|2|3|0|0
8|WISEA J000224.02-044514.7|  0.60015 |  -4.75415 |G| 81584| 0.272135 |SLS |     |  0.000|1|0|12|3|1|0|0
9|WISEA J000232.90+072409.2|  0.63705 |   7.40254 |G| 81694| 0.272503 |SLS |     |  0.000|0|0|18|3|1|0|0
10|SDSS J000253.45-004136.5|  0.72273 |  -0.69350 |G| 81693| 0.272500 |SUN |21.35|  0.000|3|0|23|2|1|4|0
11|WISEA J000255.37+070933.2|  0.73074 |   7.15927 |G| 81616| 0.272241 |SLS |     |  0.000|0|0|18|3|1|0|0
12|WISEA J000305.31-035613.3|  0.77195 |  -3.93704 |G| 81586| 0.272143 |SLS |20.06|  0.000|0|0|19|4|1|0|0
13|WISEA J000306.09-045301.1|  0.77537 |  -4.88365 |G| 81562| 0.272060 |SLS |     |  0.000|1|0|18|4|1|0|0
14|WHL J000306.1-045301|  0.77537 |  -4.88365 |GClstr| 81574| 0.272100 |SUN |     |  0.000|2|0|0|2|3|0|0
15|WISEA J000307.03-333940.9|  0.77917 | -33.66178 |G| 81813| 0.272900 |SUN |19.40|  0.000|1|0|17|4|1|0|0
16|WISEA J000327.47-043556.4|  0.86435 |  -4.59907 |G| 81681| 0.272457 |SLS |20.09|  0.000|0|0|19|4|1|0|0
17|WISEA J000336.21+474430.9|  0.90079 |  47.74200 |G| 81559| 0.272053 |PUN |     |  0.000|1|0|27|4|1|2|0
18|WISEA J000416.65-554230.3|  1.06933 | -55.70867 |G| 81813| 0.272900 |SUN |19.26|  0.000|0|0|17|4|1|0|0
